Date,Ticker,Open,High,Low,Close,Change
6/30/1961,CMSIGBW,79.375,79.375,79.375,79.375,0.001801575
7/31/1961,CMSIGBW,79.518,79.518,79.518,79.518,-0.001798335
8/31/1961,CMSIGBW,79.375,79.375,79.375,79.375,0
9/30/1961,CMSIGBW,79.375,79.375,79.375,79.375,0.00616063
10/31/1961,CMSIGBW,79.864,79.864,79.864,79.864,0.108133828
11/30/1961,CMSIGBW,88.5,88.5,88.5,88.5,-0.015389831
12/31/1961,CMSIGBW,87.138,87.138,87.138,87.138,0.000895132
1/31/1962,CMSIGBW,87.216,87.216,87.216,87.216,-0.018597505
2/28/1962,CMSIGBW,85.594,85.594,85.594,85.594,-0.011519499
3/31/1962,CMSIGBW,84.608,84.608,84.608,84.608,-0.002446577
4/30/1962,CMSIGBW,84.401,84.401,84.401,84.401,-0.000308053
5/31/1962,CMSIGBW,84.375,84.375,84.375,84.375,0.015632593
6/30/1962,CMSIGBW,85.694,85.694,85.694,85.694,0.021740145
7/31/1962,CMSIGBW,87.557,87.557,87.557,87.557,0.048471282
8/31/1962,CMSIGBW,91.801,91.801,91.801,91.801,0.080663609
9/30/1962,CMSIGBW,99.206,99.206,99.206,99.206,0.035229724
10/31/1962,CMSIGBW,102.701,102.701,102.701,102.701,-0.003524795
11/30/1962,CMSIGBW,102.339,102.339,102.339,102.339,0.00864773
12/31/1962,CMSIGBW,103.224,103.224,103.224,103.224,0.03200806
1/31/1963,CMSIGBW,106.528,106.528,106.528,106.528,0.010241439
2/28/1963,CMSIGBW,107.619,107.619,107.619,107.619,0.014272573
3/31/1963,CMSIGBW,109.155,109.155,109.155,109.155,-0.044386423
4/30/1963,CMSIGBW,104.31,104.31,104.31,104.31,0.054031253
5/31/1963,CMSIGBW,109.946,109.946,109.946,109.946,-0.000827679
6/30/1963,CMSIGBW,109.855,109.855,109.855,109.855,0.010777844
7/31/1963,CMSIGBW,111.039,111.039,111.039,111.039,0.000396257
8/31/1963,CMSIGBW,111.083,111.083,111.083,111.083,0.003645922
9/30/1963,CMSIGBW,111.488,111.488,111.488,111.488,0.001668341
10/31/1963,CMSIGBW,111.674,111.674,111.674,111.674,0.000680552
11/30/1963,CMSIGBW,111.75,111.75,111.75,111.75,0
12/31/1963,CMSIGBW,111.75,111.75,111.75,111.75,0
1/31/1964,CMSIGBW,111.75,111.75,111.75,111.75,5.37E-05
2/29/1964,CMSIGBW,111.756,111.756,111.756,111.756,-5.37E-05
3/31/1964,CMSIGBW,111.75,111.75,111.75,111.75,0
4/30/1964,CMSIGBW,111.75,111.75,111.75,111.75,-0.000393736
5/31/1964,CMSIGBW,111.706,111.706,111.706,111.706,8.95E-05
6/30/1964,CMSIGBW,111.716,111.716,111.716,111.716,0.0017634
7/31/1964,CMSIGBW,111.913,111.913,111.913,111.913,0.00077739
8/31/1964,CMSIGBW,112,112,112,112,0.000205357
9/30/1964,CMSIGBW,112.023,112.023,112.023,112.023,0.00202637
10/31/1964,CMSIGBW,112.25,112.25,112.25,112.25,0
11/30/1964,CMSIGBW,112.25,112.25,112.25,112.25,-0.001113586
12/31/1964,CMSIGBW,112.125,112.125,112.125,112.125,0
1/31/1965,CMSIGBW,112.125,112.125,112.125,112.125,-0.001061315
2/28/1965,CMSIGBW,112.006,112.006,112.006,112.006,-5.36E-05
3/31/1965,CMSIGBW,112,112,112,112,-0.001169643
4/30/1965,CMSIGBW,111.869,111.869,111.869,111.869,-0.002181123
5/31/1965,CMSIGBW,111.625,111.625,111.625,111.625,-0.006396417
6/30/1965,CMSIGBW,110.911,110.911,110.911,110.911,0.006131042
7/31/1965,CMSIGBW,111.591,111.591,111.591,111.591,0.000304684
8/31/1965,CMSIGBW,111.625,111.625,111.625,111.625,-0.001334826
9/30/1965,CMSIGBW,111.476,111.476,111.476,111.476,-0.004216154
10/31/1965,CMSIGBW,111.006,111.006,111.006,111.006,0.003324145
11/30/1965,CMSIGBW,111.375,111.375,111.375,111.375,0
12/31/1965,CMSIGBW,111.375,111.375,111.375,111.375,0.001921437
1/31/1966,CMSIGBW,111.589,111.589,111.589,111.589,-0.000896146
